ID,ageCategoryWeight,sex,averageTime,averageRank,weightedAppearance,yearsOfParticipation,yearsSinceLastParticipation
2203,4038,0,9815.0,1399.0,4,1,2
2204,2553,1,9330.0,1086.0,4,1,1
2208,5138,1,5724.0,36.5,1,1,11
2211,4038,1,16952.4,2541.8,14,4,1
2213,5138,1,8549.0,910.5,3,1,7
2215,5529,0,8038.0,701.5,4,1,2
2216,5529,0,9567.0,1133.0,4,1,1
2220,5529,1,12798.666666666666,1699.6666666666667,8,2,1
2225,5138,1,13291.0,1644.0,11,3,1
2226,5773,1,9102.333333333334,339.0,8,2,1
2230,630,0,10152.0,1229.0,4,1,1
2233,5773,0,11476.75,973.5,9,3,2
2235,4038,0,11061.0,1680.5,4,1,2
2239,5529,1,12759.0,709.6666666666666,23,8,1
2243,4038,0,11440.75,888.75,11,3,1
2247,5773,1,12285.25,1337.0,10,3,1
2250,4038,1,7881.5,667.5,4,1,1
2253,2553,1,6816.5,364.0,3,1,5
2256,5138,0,8343.0,1077.5,3,1,4
2262,5138,1,13360.57142857143,1139.857142857143,15,6,4
2263,4038,0,8819.0,1289.5,3,1,4
2264,1289,1,10023.5,1462.5,4,1,2
2265,5773,1,9931.75,561.75,11,3,1
2267,4038,1,8450.0,166.66666666666666,8,2,1
2272,5773,1,11487.6,724.6,14,4,1
2281,5773,1,7245.5,378.0,4,1,2
